,Preddicion
0,55.92322407667705
1,2.225056638708957
2,16.531415470601182
3,4.729058086382747
4,3.3542360058639353
5,5.814170377289004
6,5.322265715689106
7,2.4320574757993807
8,4.381716512038169
9,3.6900454669026894
10,4.801844482420529
11,8.881639798881
12,5.552826297387513
13,9.897754365667247
14,0.7465681615569695
15,4.0679473393382315
16,13.614837366091837
17,4.235278852982754
18,6.558724688273722
19,4.4801687588650125
20,2.377091278270286
21,2.595852458287464
22,3.907145610646138
23,5.199193595251833
24,6.4017848961982455
25,2.1211820206504814
26,4.632588839468343
27,2.6245619147084858
28,7.551688433242607
29,3.601561515014229
30,12.157778090143108
31,8.31594310358613
32,2.4387037610334064
33,8.581556224554769
34,22.708604841644405
35,7.677568623321925
36,4.101748431624959
37,5.214425404655637
38,10.037204048029809
39,5.672453806453682
40,39.849532663519426
41,2.5381348971521325
42,2.266143801690437
43,4.240501199629872
44,4.131084141968908
45,11.023260154591952
46,17.93080911298962
47,4.921489695110823
48,5.7147648483155145
49,2.6505081369829426
50,2.555979384317337
51,5.841670392637813
52,2.8743665976515107
53,3.5461954963130164
54,5.428158823850614
55,6.457153533699483
56,3.248515646007869
57,5.814424013931969
58,4.1004762555519125
59,4.685886261175105
60,2.4943622676409465
61,3.4750673358572284
62,3.886572695982344
63,4.460853369435136
64,6.227359746935267
65,5.929132952436879
66,5.333127113293702
67,8.255556436549714
68,5.098683618452894
69,4.396794973112746
70,4.673710407706521
71,10.85495631546411
72,2.7455881160850257
73,4.0989380768426855
74,7.486640729833489
75,3.6756411787311727
76,2.1241221212820642
77,3.0657266136370556
78,3.449583386312063
79,3.2455417118146856
80,4.827864960354937
81,18.72217444844407
82,6.020583454154119
83,3.010155512348832
84,3.3504847227999752
85,3.829027897240767
86,2.6642359123779933
87,2.740935153414216
88,4.648938777392658
89,3.3875792392892894
90,6.677382103571988
91,6.294949709474285
92,4.03785708172378
93,9.17456244825175
94,4.099186069103106
95,3.2781673252328725
96,4.061263386385684
97,3.6871121012067967
98,3.6659084624463896
99,3.76053523485876
100,4.992582441415158
101,5.500321578089515
102,8.01720198607157
103,22.52308318779889
104,4.184982632709044
105,4.84635127056429
106,4.311488008695298
107,59.62786879426067
108,3.059980287039317
109,12.941724921962818
110,34.3608788663957
111,3.7755893280908115
112,4.925425950324441
113,3.3808068580016455
114,3.4457600617911046
115,9.364806879923048
116,3.0605276596623714
117,7.956508588934806
118,5.385512954645921
119,4.432545280033084
120,5.269823099762995
121,6.545015532350707
122,2.3841183392163643
123,3.117161975426588
124,4.581178333190733
125,3.2388416344363256
126,4.4193986520460795
127,3.3442874608202873
128,4.011870619436576
129,32.91409969432564
130,15.655170109227562
131,3.262855473519104
132,10.461004616817263
133,2.92887636932804
134,5.18296967444774
135,1.7744075891208482
136,6.149206252422637
137,4.066803390161331
138,7.021825189653063
139,5.988814559350541
140,4.607083124302115
141,4.779603545729501
142,6.495402886235123
143,2.322598694185869
144,7.010561774561154
145,5.105416403342815
146,2.107704449142031
147,39.27977275763822
148,4.2296095428891824
149,3.579427567000433
150,10.076120191966618
151,4.059166394487799
152,2.7992306239674445
153,3.1015974922159426
154,4.477267141175139
155,3.172945296181801
156,6.952342610465511
157,4.038643087813467
158,3.3930964535365398
159,6.651398573919195
160,5.38346632894977
161,4.478184761232431
162,4.256924743729627
163,5.800875280979167
164,3.9815108762843083
165,6.55297274172152
166,5.280818059369476
167,3.576340539730503
168,3.854175577174767
169,12.901365766482822
170,3.2384821011327247
171,7.739551203910828
172,6.1230875759315815
173,6.528500235986092
174,3.155291957299542
175,3.7367468191115067
176,5.59329796486751
177,2.8890188472924967
178,6.187261866752824
179,8.4590796811474
180,1.7055739439555513
181,7.12913993161704
182,3.0343126840414527
183,10.811405620904893
184,2.4491091635747653
185,3.387671932780841
186,3.4019958440571454
187,4.882166653236093
188,3.7820671107709014
189,3.1287411895495776
190,4.755508587532902
191,2.0149965914124888
192,3.0541220126030426
193,3.282595346543096
194,6.49293109716583
195,14.73706109099044
196,5.36860078717372
197,14.73807518712313
198,3.6275029796496856
199,7.567677360726728
200,2.9470131497664367
201,6.930022750275903
202,3.5455487735810483
203,3.4930809278556607
204,7.930158603307007
205,5.342009249311013
206,3.0880754568632076
207,3.5842132570535448
208,7.767671693647715
209,2.647918082250839
210,4.613808741901417
211,3.201951237241988
212,3.4309337393998476
213,3.38912486139958
214,3.1827840306761024
215,2.5522389698615164
216,6.534939222721482
217,8.54082423641707
218,4.226285690773946
219,7.4395933858717616
220,2.5572877452356506
221,2.4173514761072292
222,8.885328400440772
223,4.652188497631296
224,3.5761348091359313
225,2.6805405317394664
226,3.7489319842385305
227,4.098638332746478
228,2.802416675729696
229,2.114124675996571
230,9.957762342775265
231,3.1044622656360445
232,2.902261763272379
233,4.927213658367362
234,10.495823889546319
235,3.2061382583227864
236,2.686347089376172
237,4.000355069852896
238,5.266370601996893
239,4.572720363083429
240,6.290594866957701
241,4.002376415994807
242,1.7960982117153996
243,3.6716103697744824
244,3.987606935286479
245,4.087730409797689
246,3.3543060967949305
247,3.6490685774412626
248,6.016596988359623
249,8.718920968072485
250,68.53301690631926
251,1.658456824483883
252,3.61131279382108
253,2.6602648174448946
254,3.3760068627082687
255,5.498601534082287
256,3.329752578438579
257,3.8166437710303
258,1.8266424419545864
259,5.7342901471881955
260,7.256293386130906
261,3.4445064180072507
262,4.958158935833819
263,4.038357580585954
264,1.8329762121749749
265,3.6167856272394294
266,5.721240874410364
267,4.171759664524362
268,7.99899991398172
269,2.743390366277077
270,4.417296713476414
271,3.380607521994497
272,4.945259307563678
273,3.4901204187042723
274,3.893242094156701
275,6.961966239456579
276,23.48462297218639
277,2.300435761910891
278,12.679321912123875
279,6.095114374518607
280,5.977710212378991
281,4.782174800151355
282,26.396425362243455
283,33.68128418472854
284,6.052658991173654
285,1.6690769828232153
286,6.065162218988888
287,2.2679624776924348
288,6.224044016906692
289,5.511760218587275
290,4.4223237469149765
291,6.072809609491154
292,7.071597855314801
293,22.335637917605922
294,4.920750279814895
295,2.8617464958768046
296,13.965822871101139
297,3.2971321655206838
298,8.645849636351869
299,4.904721276810688
300,3.6270046664184914
301,2.727839863594185
302,5.218787938006912
303,4.802893023387033
304,5.346934198135995
305,11.329830506179116
306,101.54575216254929
307,3.5738836189620224
308,7.6269814710866335
309,8.688596377658364
310,5.876626169110192
311,5.1320421804471765
312,14.049063232897762
313,2.5715276864652905
314,3.2984166177602923
315,33.39350170939822
316,4.698873012978273
317,2.538763782199112
318,5.137643334702422
319,3.8515708667292516
320,4.714702013635367
321,3.0572189696591003
322,3.329933285333105
323,2.0680198475818123
324,2.718128989289781
325,6.403834062629935
326,5.320866795460125
327,2.5833996491969797
328,3.644928608854637
329,16.940435885053624
330,3.3803489783767358
331,9.158064790574867
332,2.9550422094036657
333,16.602204933118657
334,4.489481339966204
335,3.4949236995387922
336,4.278926328389511
337,8.212484025930069
338,25.048723537967057
339,7.282540837127328
340,2.1965167086998463
341,3.714875811893589
342,23.463788186385557
343,3.5734655493876195
344,7.164650136281166
345,7.839811451065303
346,7.964723738638552
347,3.074460380665589
348,11.372902471150137
349,6.881020808068545
350,5.271057716881494
351,3.51741458295868
352,6.181350825761674
353,7.161535659281228
354,3.523251038413709
355,5.863758741965775
356,5.913488769847966
357,6.271846771804048
358,4.605775816347586
359,27.198751725651178
360,11.422482722239524
361,9.900590229617094
362,4.66703386288727
363,4.99839522107335
364,5.716777983986162
365,7.2358670322935765
366,3.0558651207007266
367,2.4896174650211744
368,3.0702897222771384
369,3.3440502516506694
370,2.8913393159968024
371,3.4677600850085577
372,2.749674473876749
373,3.359403355040249
374,3.3526220852508137
375,7.1712746810330525
376,6.534095187840496
377,5.044245070640331
378,6.263629558826048
379,3.2462637849772387
380,3.1807704637448326
381,2.2812273848706868
382,2.629951284022223
383,4.041238385072292
384,5.956006314295195
385,3.253638752805112
386,5.166284357204152
387,5.569000764372717
388,39.055170748109575
389,14.0925696126403
390,3.2648056111139194
391,3.473811125258244
392,4.296652003821829
393,4.565924900405008
394,2.778649889555198
395,3.2922306724449983
396,6.918775096200488
397,3.497536656155807
398,7.76651103688393
399,7.490796915891503
400,2.10868184790763
401,6.417935433550856
402,4.626380762760517
403,4.361764655501745
404,3.803344140222137
405,3.747269359488648
406,4.8224571479807175
407,5.056188446848295
408,7.27415658445522
409,4.471491182800879
410,4.453289153169363
411,22.47548039341111
412,3.097466126802918
413,3.741703862747147
414,4.711737224736662
415,4.866747518151639
416,3.0264870625947538
417,3.0961220902631696
418,5.177971413759892
419,6.087068842099628
420,2.748689705126713
421,2.368199470974173
422,4.411119508472299
423,44.95105640706841
424,3.3801680238803513
425,3.2539109947007177
426,3.4943658697105224
427,2.0353265227610597
428,4.437742525377653
429,3.401043931407222
430,15.965852966500826
431,4.210404610581825
432,5.0989049435451115
433,5.438731894864539
434,11.058694086084964
435,3.0303294053880014
436,3.835720436000253
437,9.529232375391672
438,1.896456207227101
439,3.7969295599166912
440,3.3022944497865536
441,3.6463503451253922
442,6.957719441157783
443,2.2738964346062565
444,3.53002142805932
445,4.227988432750026
446,3.250021324751648
447,3.9784175874594823
448,8.928167948178693
449,5.551495577852629
450,2.2518198903210784
451,5.128705812952263
452,5.353437090171316
453,2.5786785801902417
454,4.921745388439282
455,6.089349099569191
456,3.305765010604028
457,3.011695117890901
458,4.759517968635468
459,3.0595299853563303
460,6.441184119532515
461,9.56996484935228
462,7.862198742086781
463,1.8584354436157735
464,16.55141941190717
465,6.426750217076663
466,5.34268672337694
467,2.6463806625635744
468,3.224069375560802
469,13.039692341069014
470,1.8728402355612204
471,2.208374674867345
472,5.50111764173411
473,5.6012885474670515
474,4.630181896186469
475,3.44003240032821
476,3.5084221392160853
477,4.132717575152764
478,3.3555959626572758
479,9.220955898853333
480,1.3093883604745793
481,7.394941686912439
482,4.649754614586301
483,2.867186840086765
484,3.052193251303984
485,7.484347921465261
486,12.040819223759092
487,12.41401337678181
488,5.019570776775886
489,3.563455838778734
